名稱	閃電種類	時間	經度	緯度
雲間閃電 122-2022-08-06 16:02	雲間	2022-08-06 16	120.39	23.229
對地閃電 133-2022-08-06 16:02	對地	2022-08-06 16	120.297	23.109
雲間閃電 123-2022-08-06 16:02	雲間	2022-08-06 16	120.55	22.994
雲間閃電 124-2022-08-06 16:02	雲間	2022-08-06 16	120.542	22.999
對地閃電 134-2022-08-06 16:02	對地	2022-08-06 16	120.552	22.996
雲間閃電 125-2022-08-06 16:02	雲間	2022-08-06 16	120.468	23.253
對地閃電 135-2022-08-06 16:02	對地	2022-08-06 16	120.494	23.338
對地閃電 136-2022-08-06 16:02	對地	2022-08-06 16	120.488	23.365
對地閃電 137-2022-08-06 16:02	對地	2022-08-06 16	120.537	23.397
對地閃電 138-2022-08-06 16:02	對地	2022-08-06 16	120.421	23.288
雲間閃電 126-2022-08-06 16:02	雲間	2022-08-06 16	120.4	23.22
對地閃電 139-2022-08-06 16:02	對地	2022-08-06 16	120.521	22.912
雲間閃電 127-2022-08-06 16:02	雲間	2022-08-06 16	120.41	23.273
對地閃電 140-2022-08-06 16:02	對地	2022-08-06 16	120.267	23.205
雲間閃電 128-2022-08-06 16:02	雲間	2022-08-06 16	120.396	23.222
對地閃電 141-2022-08-06 16:02	對地	2022-08-06 16	120.455	23.267
雲間閃電 129-2022-08-06 16:02	雲間	2022-08-06 16	120.421	23.256
對地閃電 142-2022-08-06 16:02	對地	2022-08-06 16	120.47	23.199
雲間閃電 130-2022-08-06 16:02	雲間	2022-08-06 16	120.497	23.317
對地閃電 143-2022-08-06 16:02	對地	2022-08-06 16	120.432	23.316
對地閃電 144-2022-08-06 16:02	對地	2022-08-06 16	120.577	23.007
對地閃電 145-2022-08-06 16:02	對地	2022-08-06 16	120.555	23.013
對地閃電 146-2022-08-06 16:02	對地	2022-08-06 16	120.573	23.037
對地閃電 147-2022-08-06 16:02	對地	2022-08-06 16	120.524	22.975
對地閃電 148-2022-08-06 16:02	對地	2022-08-06 16	120.389	23.239
對地閃電 149-2022-08-06 16:02	對地	2022-08-06 16	120.428	23.239
雲間閃電 131-2022-08-06 16:02	雲間	2022-08-06 16	120.472	23.152
對地閃電 150-2022-08-06 16:02	對地	2022-08-06 16	120.369	23.287
對地閃電 151-2022-08-06 16:02	對地	2022-08-06 16	120.494	23.278
對地閃電 152-2022-08-06 16:02	對地	2022-08-06 16	120.47	23.217
對地閃電 153-2022-08-06 16:02	對地	2022-08-06 16	120.584	22.993
雲間閃電 132-2022-08-06 16:02	雲間	2022-08-06 16	120.394	23.252
雲間閃電 133-2022-08-06 16:02	雲間	2022-08-06 16	120.553	22.98
